"taxon","Binomial","Height.max..m.","Height.actual..m.","P50..MPa.","P12..MPa.","P88..MPa.","Slope","Ks..kg.m.1.MPa.1.s.1.","KL..kg.m.1.MPa.1.s.1.","Huber.value","SLA..cm2.g.1.","Latitude","Longitude","Altitude..m.","MATbest","PPTbest","Genus","Species","ID","animal","Phylo_axis_1","Phylo_axis_2","Phylo_axis_3","Phylo_axis_4","Phylo_axis_5","Phylo_axis_6","Phylo_axis_7","Phylo_axis_8","Phylo_axis_9","Phylo_axis_10","Phylo_axis_11","Phylo_axis_12"
"Taxodium_distichum","Taxodium distichum",35,NA,-3.57,-0.95,-7.04,10.93418731,3.04,0.000365818,NA,NA,37.78,122.43,76,15,580,"Taxodium","distichum",831,"Taxodium_distichum",526.961465875496,-2.26508568504757,-0.583682607477535,3.09443955584789,98.0267930599737,0.119400970512274,11.5564278481323,0.449627606202052,-1.28014591543984,0.350291118995179,-0.0024875111554995,-0.00789685595818165
"Taxodium_distichum","Taxodium distichum",35,NA,-0.8,NA,NA,NA,6.666,NA,NA,NA,35.8666666666667,-79.9833333333333,130,15.6,1490,"Taxodium","distichum",897,"Taxodium_distichum",526.961465875496,-2.26508568504757,-0.583682607477535,3.09443955584789,98.0267930599737,0.119400970512274,11.5564278481323,0.449627606202052,-1.28014591543984,0.350291118995179,-0.0024875111554995,-0.00789685595818165
"Taxodium_distichum","Taxodium distichum",35,NA,-2.14,NA,NA,NA,6.541,NA,NA,NA,35.8666666666667,-79.9833333333333,130,15.6,1490,"Taxodium","distichum",898,"Taxodium_distichum",526.961465875496,-2.26508568504757,-0.583682607477535,3.09443955584789,98.0267930599737,0.119400970512274,11.5564278481323,0.449627606202052,-1.28014591543984,0.350291118995179,-0.0024875111554995,-0.00789685595818165
"Taxodium_huegelii","Taxodium mucronatum",35.4,NA,-2.88,-1.39,-4.2,28.78086742,1.4,0.000367234,NA,NA,37.78,122.43,76,15,580,"Taxodium","huegelii",832,"Taxodium_huegelii",526.961465875496,-2.26508568504753,-0.583682607477534,3.09443955584794,98.0267930599735,0.119400970512291,11.5564278481319,0.449627606201784,-1.28014591543971,0.350291118995227,-0.00248751115551337,-0.00789685595822437
"Taxus_baccata","Taxus baccata",15,5,-6.97,-4.886666667,-9.053333333,18.24,NA,NA,NA,NA,45.776,3.144133333,336,10.9,618,"Taxus","baccata",252,"Taxus_baccata",523.422044158874,-1.9593825730046,-0.490085143485426,2.56727930465134,79.4863994113861,0.0926388178022882,8.53258326826547,0.318740209635661,-0.862152156257185,0.230495424016954,-0.00152659613931878,-0.00464274937132279
"Taxus_baccata","Taxus baccata",29,NA,-8.14,-5.29,-10.59,15.51100487,0.32,0.0000608,NA,NA,37.78,122.43,76,15,580,"Taxus","baccata",833,"Taxus_baccata",523.422044158874,-1.9593825730046,-0.490085143485426,2.56727930465134,79.4863994113861,0.0926388178022882,8.53258326826547,0.318740209635661,-0.862152156257185,0.230495424016954,-0.00152659613931878,-0.00464274937132279
"Taxus_baccata","Taxus baccata",20,NA,-6.969,-4.917908622,-9.020091378,18.52672212,NA,NA,NA,NA,45.776,3.144133333,336,10.9,618,"Taxus","baccata",1294,"Taxus_baccata",523.422044158874,-1.9593825730046,-0.490085143485426,2.56727930465134,79.4863994113861,0.0926388178022882,8.53258326826547,0.318740209635661,-0.862152156257185,0.230495424016954,-0.00152659613931878,-0.00464274937132279
"Taxus_brevifolia","Taxus brevifolia",15,10,-6.44,-4.773333333,-8.106666667,22.8,NA,NA,NA,NA,46.3,-114.2166667,1200,6.5,366,"Taxus","brevifolia",253,"Taxus_brevifolia",523.422044158874,-1.95938257300459,-0.490085143485462,2.56727930465135,79.4863994113862,0.0926388178023411,8.53258326826571,0.318740209635796,-0.862152156257111,0.230495424016897,-0.00152659613939557,-0.00464274937119097
"Taxus_brevifolia","Taxus brevifolia",20,NA,-6.4395,-4.791665075,-8.087334925,23.06056233,NA,NA,NA,NA,46.3,-114.2166667,1200,6.5,366,"Taxus","brevifolia",1295,"Taxus_brevifolia",523.422044158874,-1.95938257300459,-0.490085143485462,2.56727930465135,79.4863994113862,0.0926388178023411,8.53258326826571,0.318740209635796,-0.862152156257111,0.230495424016897,-0.00152659613939557,-0.00464274937119097
"Tecoma_capensis","Tecoma capensis",3.5,NA,-1.48,-0.8,-2.6,33.92857143,1.15847,0.00018,0.000148634,NA,-29.8833333333333,31,NA,20.9,972,"Tecoma","capensis",415,"Tecoma_capensis",-88.1312139170739,74.6846578402847,30.1031824140969,58.8828226491949,-0.159612478044421,10.0877615843649,4.88811350844425,-5.95160493806738,18.1970759863102,-2.25099495030947,-0.411175404175326,-44.0967811765391
"Terminalia_platyptera","Terminalia platyptera",9,NA,NA,NA,NA,NA,2.49,0.000455303,0.000209045,82.54912329,NA,NA,80,26.9,634,"Terminalia","platyptera",1505,"Terminalia_platyptera",-88.7420213648413,-45.5822373337747,38.5567673071809,-0.320205625560026,-0.000630580053128025,2.59687850200437,-0.0136469314046351,0.533629695600145,-1.04169471472777,-0.834820442021924,0.135728131979972,0.393655549392873
